sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,status,stdout_log,stderr_log,artifacts_created,artifacts_reused,blocker,claim_allowed
78,final_verification,python3 -m certgen icml2027 audit go-no-go --registry registry/icml2027/model_registry.yaml --out reports/icml2027/MODEL_GO_NO_GO.json,.,2026-08-09T14:26:38.465037Z,2026-08-09T14:26:38.593038Z,0.127518,0,PASS,reports/icml2027/command_logs/0078_final_verification.stdout.log,reports/icml2027/command_logs/0078_final_verification.stderr.log,,,,False
79,final_verification,python3 -m ruff check certgen scripts tests,.,2026-08-09T14:26:38.672056Z,2026-08-09T14:26:38.773345Z,0.100938,0,PASS,reports/icml2027/command_logs/0079_final_verification.stdout.log,reports/icml2027/command_logs/0079_final_verification.stderr.log,,,,False
80,final_verification,python3 -m mypy --follow-imports=skip certgen/icml2027 certgen/__main__.py scripts/icml2027 tests/icml2027,.,2026-08-09T14:26:38.851783Z,2026-08-09T14:26:39.133681Z,0.281405,0,PASS,reports/icml2027/command_logs/0080_final_verification.stdout.log,reports/icml2027/command_logs/0080_final_verification.stderr.log,,,,False
81,final_full_mypy_debt,python3 -m mypy certgen scripts,.,2026-08-09T14:26:39.216207Z,2026-08-09T14:26:58.019267Z,18.802323,1,EXPECTED_BOUNDARY,reports/icml2027/command_logs/0081_final_full_mypy_debt.stdout.log,reports/icml2027/command_logs/0081_final_full_mypy_debt.stderr.log,,,,False
82,final_verification,python3 -m mypy --follow-imports=skip certgen/icml2027 certgen/__main__.py scripts/icml2027 tests/icml2027,.,2026-08-09T14:27:16.647501Z,2026-08-09T14:27:18.882370Z,2.233902,0,PASS,reports/icml2027/command_logs/0082_final_verification.stdout.log,reports/icml2027/command_logs/0082_final_verification.stderr.log,,,,False
83,final_full_mypy_debt_fixed,python3 -m mypy certgen scripts,.,2026-08-09T14:27:19.032551Z,2026-08-09T14:27:32.758058Z,13.724828,1,EXPECTED_BOUNDARY,reports/icml2027/command_logs/0083_final_full_mypy_debt_fixed.stdout.log,reports/icml2027/command_logs/0083_final_full_mypy_debt_fixed.stderr.log,,,,False
84,final_release_verification,python3 -m certgen release build-archive --out dist/certgen_icml2027_candidate.zip --no-tests,.,2026-08-09T14:27:42.415916Z,2026-08-09T14:27:42.947395Z,0.530992,0,PASS,reports/icml2027/command_logs/0084_final_release_verification.stdout.log,reports/icml2027/command_logs/0084_final_release_verification.stderr.log,dist/certgen_icml2027_candidate.zip,,,False
85,final_reporting,python3 scripts/icml2027/finalize_reports.py,.,2026-08-09T14:29:16.296071Z,2026-08-09T14:29:16.411945Z,0.115228,0,PASS,reports/icml2027/command_logs/0085_final_reporting.stdout.log,reports/icml2027/command_logs/0085_final_reporting.stderr.log,reports/icml2027/CERTGEN_ICML2027_CURRENT_STATE.json,,,False
86,final_legacy_immutability,"python3 -c 'import hashlib,pathlib,subprocess; p=pathlib.Path(""artifacts/cvpr/study/cifar_integrity_minimal.yaml""); assert hashlib.sha256(p.read_bytes()).hexdigest()==""346f0bea70d94803bd9da2793153496a6b0c1fe839174e8d2049773f5bfcc5ae""; assert subprocess.run([""git"",""diff"",""--quiet"",""--"",""data/results"",""data/smoke/v2/certificates/audit_smoke_mmd_rbf.json"",""reports/CERTGEN_KAGGLE_FINAL_LAUNCH_AUDIT.json"",""reports/CERTGEN_PHASE1_CPU_EXECUTION_AUDIT.json"",""reports/final_pre_run_audit/audit.json""]).returncode==0; print({""legacy_pilot_preserved"":True,""pilot_sha256"":""346f0bea70d94803bd9da2793153496a6b0c1fe839174e8d2049773f5bfcc5ae"",""semantic_hash"":""b6882b9e1be0b9f12868c47be44c0f41a522ed45c7a4529ceabd08f38cc991aa"",""claim_allowed"":False})'",.,2026-08-09T14:29:54.530448Z,2026-08-09T14:29:54.591679Z,0.060813,0,PASS,reports/icml2027/command_logs/0086_final_legacy_immutability.stdout.log,reports/icml2027/command_logs/0086_final_legacy_immutability.stderr.log,,,,False
87,final_verification_post_type_fix,pytest -q -o addopts= tests/icml2027/test_baselines_analysis.py,.,2026-08-09T14:30:02.471035Z,2026-08-09T14:30:03.464795Z,0.993160,0,PASS,reports/icml2027/command_logs/0087_final_verification_post_type_fix.stdout.log,reports/icml2027/command_logs/0087_final_verification_post_type_fix.stderr.log,,,,False
